,the_year,the_month,day_of_month,the_day,store_country,store_state,store_type,yearly_income,gender,total_children,education,member_card,num_cars_owned
1076,1998,3,9,Monday,USA,CA,Supermarket,$30K - $50K,M,0,High School Degree,Silver,3
1225,1998,11,28,Saturday,USA,CA,Supermarket,$50K - $70K,F,0,Bachelors Degree,Bronze,3
1934,1998,7,26,Sunday,USA,CA,Gourmet Supermarket,$10K - $30K,F,5,Partial High School,Normal,1
1970,1997,8,1,Friday,USA,CA,Supermarket,$110K - $130K,F,1,High School Degree,Bronze,1
2235,1998,8,22,Saturday,USA,CA,Gourmet Supermarket,$70K - $90K,F,1,Bachelors Degree,Bronze,3
2237,1997,4,14,Monday,USA,CA,Gourmet Supermarket,$70K - $90K,F,1,Bachelors Degree,Bronze,3
3228,1998,11,21,Saturday,USA,CA,Gourmet Supermarket,$30K - $50K,M,1,High School Degree,Bronze,2
3342,1997,3,2,Sunday,USA,CA,Supermarket,$10K - $30K,F,3,Partial High School,Normal,1
4267,1997,10,13,Monday,USA,CA,Supermarket,$30K - $50K,F,0,High School Degree,Normal,3
4329,1997,12,2,Tuesday,USA,CA,Supermarket,$30K - $50K,F,4,Partial College,Bronze,2
4838,1998,9,5,Saturday,USA,CA,Supermarket,$50K - $70K,M,0,Bachelors Degree,Bronze,1
4948,1998,9,21,Monday,USA,CA,Gourmet Supermarket,$30K - $50K,F,2,High School Degree,Bronze,4
5681,1997,4,27,Sunday,USA,CA,Supermarket,$50K - $70K,F,5,Bachelors Degree,Bronze,2
5742,1997,12,29,Monday,USA,CA,Supermarket,$30K - $50K,M,4,High School Degree,Bronze,3
5906,1997,7,5,Saturday,USA,CA,Supermarket,$90K - $110K,M,3,Partial High School,Bronze,3
6121,1997,9,6,Saturday,USA,CA,Supermarket,$10K - $30K,F,4,Partial College,Normal,1
6188,1997,12,4,Thursday,USA,CA,Supermarket,$30K - $50K,F,4,High School Degree,Silver,3
6197,1997,5,19,Monday,USA,CA,Gourmet Supermarket,$70K - $90K,M,1,Bachelors Degree,Bronze,2
6278,1998,4,26,Sunday,USA,CA,Supermarket,$30K - $50K,M,5,High School Degree,Normal,3
7087,1997,3,2,Sunday,USA,CA,Supermarket,$30K - $50K,M,2,Bachelors Degree,Bronze,3
7252,1998,10,12,Monday,USA,CA,Gourmet Supermarket,$70K - $90K,M,5,Bachelors Degree,Bronze,3
7948,1997,7,17,Thursday,USA,CA,Gourmet Supermarket,$10K - $30K,M,3,Partial High School,Normal,1
8282,1997,2,15,Saturday,USA,CA,Supermarket,$70K - $90K,M,2,Bachelors Degree,Bronze,3
8283,1997,2,15,Saturday,USA,CA,Supermarket,$70K - $90K,M,2,Bachelors Degree,Bronze,3
8540,1998,9,22,Tuesday,USA,CA,Supermarket,$10K - $30K,M,2,Partial High School,Normal,1
9134,1998,8,11,Tuesday,USA,CA,Supermarket,$30K - $50K,M,4,Partial College,Bronze,2
9531,1998,2,5,Thursday,USA,CA,Supermarket,$70K - $90K,F,3,Graduate Degree,Silver,2
9570,1998,2,20,Friday,USA,CA,Supermarket,$10K - $30K,M,1,Partial High School,Normal,2
9754,1998,11,6,Friday,USA,CA,Supermarket,$10K - $30K,F,3,Partial High School,Normal,0
99328,1998,4,11,Saturday,USA,CA,Gourmet Supermarket,$10K - $30K,F,3,Partial High School,Bronze,1
99614,1998,12,12,Saturday,USA,CA,Gourmet Supermarket,$150K +,F,3,Partial High School,Golden,2
99933,1998,11,6,Friday,USA,CA,Supermarket,$30K - $50K,M,3,Partial High School,Golden,2
100307,1997,12,10,Wednesday,USA,CA,Supermarket,$130K - $150K,F,0,Graduate Degree,Bronze,3
100532,1997,9,18,Thursday,USA,CA,Gourmet Supermarket,$110K - $130K,F,3,Graduate Degree,Golden,3
100645,1997,12,20,Saturday,USA,CA,Gourmet Supermarket,$30K - $50K,F,3,Bachelors Degree,Bronze,4
101012,1998,9,21,Monday,USA,CA,Gourmet Supermarket,$30K - $50K,M,2,High School Degree,Silver,3
101748,1998,5,2,Saturday,USA,CA,Gourmet Supermarket,$30K - $50K,M,4,Partial High School,Silver,4
102363,1998,3,9,Monday,USA,CA,Supermarket,$10K - $30K,F,2,Partial High School,Normal,0
102513,1997,11,21,Friday,USA,CA,Gourmet Supermarket,$30K - $50K,F,1,Partial High School,Bronze,2
102850,1998,12,12,Saturday,USA,CA,Gourmet Supermarket,$30K - $50K,F,4,Partial College,Bronze,3
102901,1998,2,21,Saturday,USA,CA,Gourmet Supermarket,$30K - $50K,F,1,Partial High School,Bronze,3
102932,1997,12,13,Saturday,USA,CA,Gourmet Supermarket,$50K - $70K,M,1,Bachelors Degree,Silver,3
103133,1998,5,2,Saturday,USA,CA,Gourmet Supermarket,$30K - $50K,M,5,Bachelors Degree,Bronze,1
103539,1998,6,5,Friday,USA,CA,Gourmet Supermarket,$30K - $50K,M,1,High School Degree,Normal,3
103664,1997,8,28,Thursday,USA,CA,Gourmet Supermarket,$10K - $30K,F,1,Partial High School,Normal,1
103741,1998,10,12,Monday,USA,CA,Gourmet Supermarket,$70K - $90K,M,1,Graduate Degree,Bronze,2
104273,1998,10,1,Thursday,USA,CA,Supermarket,$30K - $50K,M,0,Partial High School,Silver,3
104621,1997,4,27,Sunday,USA,CA,Supermarket,$10K - $30K,F,0,Partial High School,Normal,2
105063,1998,1,10,Saturday,USA,CA,Supermarket,$30K - $50K,M,3,Partial College,Bronze,2
105583,1998,12,15,Tuesday,USA,CA,Small Grocery,$70K - $90K,M,1,High School Degree,Bronze,2
105622,1997,7,16,Wednesday,USA,CA,Small Grocery,$50K - $70K,F,0,Bachelors Degree,Bronze,4
105660,1997,3,20,Thursday,USA,CA,Small Grocery,$90K - $110K,F,3,Bachelors Degree,Normal,4
106297,1997,3,9,Sunday,USA,CA,Supermarket,$30K - $50K,F,4,High School Degree,Golden,3
106535,1997,3,9,Sunday,USA,CA,Supermarket,$70K - $90K,M,4,Partial High School,Golden,3
106796,1998,12,22,Tuesday,USA,CA,Supermarket,$30K - $50K,M,1,High School Degree,Bronze,4
107245,1998,10,18,Sunday,USA,CA,Supermarket,$30K - $50K,F,4,Bachelors Degree,Bronze,2
107824,1998,6,20,Saturday,USA,CA,Supermarket,$10K - $30K,F,1,Partial High School,Normal,0
107919,1997,12,18,Thursday,USA,CA,Supermarket,$70K - $90K,F,4,Bachelors Degree,Bronze,4
107968,1997,11,25,Tuesday,USA,CA,Supermarket,$50K - $70K,M,4,Bachelors Degree,Bronze,2
108267,1998,4,27,Monday,USA,CA,Supermarket,$10K - $30K,F,2,Partial High School,Normal,2
108809,1997,4,5,Saturday,USA,CA,Supermarket,$10K - $30K,F,3,Partial High School,Normal,1
108876,1998,10,10,Saturday,USA,CA,Supermarket,$30K - $50K,M,3,High School Degree,Bronze,4
109309,1998,12,22,Tuesday,USA,CA,Supermarket,$110K - $130K,M,3,Graduate Degree,Bronze,1
109351,1998,7,12,Sunday,USA,CA,Supermarket,$150K +,M,2,High School Degree,Golden,2
109546,1997,1,6,Monday,USA,CA,Supermarket,$10K - $30K,M,2,Partial High School,Normal,1
109586,1997,2,7,Friday,USA,CA,Supermarket,$110K - $130K,M,3,High School Degree,Bronze,3
109963,1998,10,16,Friday,USA,CA,Supermarket,$30K - $50K,M,4,High School Degree,Bronze,3
110084,1998,8,5,Wednesday,USA,CA,Supermarket,$70K - $90K,F,4,Bachelors Degree,Bronze,4
110956,1997,5,2,Friday,USA,CA,Supermarket,$50K - $70K,F,2,Bachelors Degree,Bronze,1
111110,1997,2,23,Sunday,USA,CA,Supermarket,$50K - $70K,F,4,Bachelors Degree,Golden,3
111321,1997,12,27,Saturday,USA,CA,Supermarket,$30K - $50K,F,1,High School Degree,Bronze,2
111903,1998,8,3,Monday,USA,CA,Supermarket,$10K - $30K,F,5,Partial High School,Normal,1
193653,1997,4,16,Wednesday,USA,CA,Gourmet Supermarket,$30K - $50K,M,1,High School Degree,Bronze,3
193839,1997,4,5,Saturday,USA,CA,Supermarket,$30K - $50K,M,3,Partial High School,Bronze,3
193862,1997,4,7,Monday,USA,CA,Supermarket,$10K - $30K,M,3,Partial High School,Silver,2
194067,1998,11,28,Saturday,USA,CA,Supermarket,$30K - $50K,F,4,High School Degree,Golden,2
194213,1997,6,14,Saturday,USA,CA,Supermarket,$30K - $50K,M,1,High School Degree,Bronze,2
194520,1997,10,27,Monday,USA,CA,Gourmet Supermarket,$130K - $150K,F,4,Bachelors Degree,Bronze,1
203471,1997,11,13,Thursday,USA,CA,Supermarket,$70K - $90K,M,4,Bachelors Degree,Bronze,2
203526,1997,4,22,Tuesday,USA,CA,Gourmet Supermarket,$70K - $90K,M,1,Bachelors Degree,Bronze,2
203623,1997,6,22,Sunday,USA,CA,Supermarket,$30K - $50K,F,3,Partial College,Golden,4
203999,1997,12,16,Tuesday,USA,CA,Gourmet Supermarket,$50K - $70K,F,5,Partial College,Bronze,4
204031,1998,1,17,Saturday,USA,CA,Gourmet Supermarket,$130K - $150K,M,1,Bachelors Degree,Silver,3
204951,1997,6,23,Monday,USA,CA,Supermarket,$70K - $90K,M,4,High School Degree,Golden,1
205102,1997,5,21,Wednesday,USA,CA,Supermarket,$30K - $50K,M,2,High School Degree,Bronze,1
205133,1998,1,7,Wednesday,USA,CA,Supermarket,$70K - $90K,M,4,Bachelors Degree,Bronze,3
205134,1997,6,4,Wednesday,USA,CA,Supermarket,$70K - $90K,M,4,Bachelors Degree,Bronze,3
205561,1997,2,3,Monday,USA,CA,Supermarket,$30K - $50K,F,1,High School Degree,Bronze,2
215167,1998,6,19,Friday,USA,CA,Gourmet Supermarket,$70K - $90K,F,2,Bachelors Degree,Silver,2
215188,1998,11,17,Tuesday,USA,CA,Gourmet Supermarket,$90K - $110K,M,4,Graduate Degree,Bronze,4
215213,1997,8,15,Friday,USA,CA,Supermarket,$150K +,M,1,Partial High School,Golden,2
215335,1997,11,8,Saturday,USA,CA,Supermarket,$130K - $150K,F,3,Partial College,Bronze,3
215414,1997,11,8,Saturday,USA,CA,Supermarket,$50K - $70K,M,4,Bachelors Degree,Bronze,3
215699,1998,8,24,Monday,USA,CA,Supermarket,$70K - $90K,F,5,Bachelors Degree,Silver,2
215901,1998,6,25,Thursday,USA,CA,Supermarket,$10K - $30K,F,3,High School Degree,Normal,1
215969,1997,12,16,Tuesday,USA,CA,Gourmet Supermarket,$30K - $50K,M,3,High School Degree,Silver,2
216948,1998,11,2,Monday,USA,CA,Gourmet Supermarket,$50K - $70K,M,1,Bachelors Degree,Silver,3
217071,1997,12,2,Tuesday,USA,CA,Supermarket,$30K - $50K,F,2,High School Degree,Bronze,3
217535,1997,5,14,Wednesday,USA,CA,Supermarket,$90K - $110K,M,5,Partial College,Bronze,3
217839,1998,5,7,Thursday,USA,CA,Gourmet Supermarket,$10K - $30K,M,3,Partial High School,Normal,1
217974,1998,2,13,Friday,USA,CA,Supermarket,$110K - $130K,M,5,Partial College,Bronze,1
218299,1997,9,8,Monday,USA,CA,Supermarket,$70K - $90K,M,1,Bachelors Degree,Bronze,3
218429,1998,6,23,Tuesday,USA,CA,Supermarket,$30K - $50K,F,4,High School Degree,Bronze,4
218664,1997,8,4,Monday,USA,CA,Supermarket,$50K - $70K,M,5,High School Degree,Silver,2
218957,1998,1,16,Friday,USA,CA,Gourmet Supermarket,$130K - $150K,M,2,Partial College,Bronze,1
219059,1998,1,3,Saturday,USA,CA,Supermarket,$30K - $50K,M,3,High School Degree,Golden,2
219697,1997,4,14,Monday,USA,CA,Gourmet Supermarket,$10K - $30K,M,3,Partial High School,Normal,1
220379,1998,12,10,Thursday,USA,CA,Gourmet Supermarket,$110K - $130K,F,1,High School Degree,Bronze,2
220418,1997,9,5,Friday,USA,CA,Supermarket,$130K - $150K,M,3,Bachelors Degree,Bronze,4
220733,1997,9,19,Friday,USA,CA,Supermarket,$70K - $90K,M,3,High School Degree,Golden,2
220810,1997,11,2,Sunday,USA,CA,Supermarket,$30K - $50K,F,5,Partial High School,Bronze,3
221268,1997,1,12,Sunday,USA,CA,Supermarket,$10K - $30K,F,4,Partial High School,Normal,1
232326,1998,1,17,Saturday,USA,CA,Gourmet Supermarket,$30K - $50K,M,1,High School Degree,Bronze,3
232750,1998,1,5,Monday,USA,CA,Gourmet Supermarket,$30K - $50K,F,1,High School Degree,Bronze,3
233292,1998,11,17,Tuesday,USA,CA,Gourmet Supermarket,$110K - $130K,M,1,Bachelors Degree,Bronze,3
233694,1998,9,11,Friday,USA,CA,Gourmet Supermarket,$50K - $70K,M,0,Bachelors Degree,Normal,2
233807,1997,8,26,Tuesday,USA,CA,Gourmet Supermarket,$10K - $30K,F,4,Partial High School,Normal,2
234126,1998,1,12,Monday,USA,CA,Gourmet Supermarket,$10K - $30K,F,5,Partial High School,Normal,1
234992,1998,1,11,Sunday,USA,CA,Small Grocery,$130K - $150K,F,1,Partial High School,Bronze,3
235027,1998,7,17,Friday,USA,CA,Small Grocery,$30K - $50K,M,1,High School Degree,Bronze,2
235134,1997,12,18,Thursday,USA,CA,Small Grocery,$90K - $110K,F,4,Graduate Degree,Silver,4
235156,1998,3,25,Wednesday,USA,CA,Small Grocery,$30K - $50K,F,3,Partial College,Bronze,4
235783,1998,9,11,Friday,USA,CA,Supermarket,$30K - $50K,M,1,Partial High School,Silver,2
235969,1997,4,13,Sunday,USA,CA,Supermarket,$50K - $70K,M,1,Bachelors Degree,Silver,2
236254,1997,10,22,Wednesday,USA,CA,Supermarket,$10K - $30K,M,1,Partial High School,Bronze,1
236496,1997,5,7,Wednesday,USA,CA,Supermarket,$30K - $50K,M,0,High School Degree,Bronze,3
236521,1997,5,7,Wednesday,USA,CA,Supermarket,$30K - $50K,F,3,High School Degree,Bronze,1
236643,1998,4,19,Sunday,USA,CA,Supermarket,$50K - $70K,F,3,Bachelors Degree,Bronze,3
236770,1998,4,25,Saturday,USA,CA,Supermarket,$30K - $50K,M,2,Partial High School,Bronze,3
237119,1998,12,22,Tuesday,USA,CA,Supermarket,$10K - $30K,M,2,Partial High School,Normal,1
237197,1997,9,7,Sunday,USA,CA,Supermarket,$30K - $50K,M,4,Partial College,Bronze,3
237531,1998,6,20,Saturday,USA,CA,Supermarket,$50K - $70K,M,3,Bachelors Degree,Silver,3
237571,1998,6,20,Saturday,USA,CA,Supermarket,$50K - $70K,M,1,Bachelors Degree,Bronze,2
238186,1997,6,20,Friday,USA,CA,Supermarket,$50K - $70K,M,3,Bachelors Degree,Silver,2
238218,1998,12,12,Saturday,USA,CA,Supermarket,$50K - $70K,M,1,Bachelors Degree,Bronze,1
238219,1997,8,21,Thursday,USA,CA,Supermarket,$50K - $70K,M,1,Bachelors Degree,Bronze,1
238734,1998,12,22,Tuesday,USA,CA,Supermarket,$150K +,F,4,Graduate Degree,Golden,3
238955,1997,6,4,Wednesday,USA,CA,Supermarket,$70K - $90K,F,2,High School Degree,Bronze,2
239275,1998,10,10,Saturday,USA,CA,Supermarket,$30K - $50K,F,1,High School Degree,Bronze,2
239372,1998,2,15,Sunday,USA,CA,Supermarket,$30K - $50K,F,3,Partial High School,Bronze,4
239610,1997,11,14,Friday,USA,CA,Supermarket,$10K - $30K,M,2,Partial High School,Normal,2
240337,1998,8,2,Sunday,USA,CA,Supermarket,$50K - $70K,F,2,Bachelors Degree,Bronze,2
240472,1998,7,12,Sunday,USA,CA,Supermarket,$150K +,M,4,High School Degree,Golden,3
240674,1997,7,17,Thursday,USA,CA,Supermarket,$30K - $50K,M,1,High School Degree,Bronze,3
241731,1997,7,22,Tuesday,USA,CA,Supermarket,$130K - $150K,M,5,Partial High School,Normal,3
